Date,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Day_of_Week,Is_Weekend,Month,Road/Intersection Name_CMH Road,Weather Conditions_Fog,Weather Conditions_Overcast,Weather Conditions_Rain,Weather Conditions_Windy,Roadwork and Construction Activity_Yes
01-01-2022,50590,50.23029856,1.5,100,100,0,151.18,70.6323302,84.04460047,85.40362889,111,5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
01-01-2022,30825,29.37712471,1.5,100,100,1,111.65,41.9248989,91.40703846,59.98368911,100,5,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
02-01-2022,22050,52.87084604,1.130159879,78.4298281,100,3,94.1,35.74010621,70.60809471,62.19948217,115,6,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
02-01-2022,37877,26.42842444,1.5,100,100,1,125.754,75.8321009,98.15714308,95.74321951,96,6,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
03-01-2022,23457,38.86905317,1.380024787,87.20214294,100,2,96.914,33.00651818,86.90073824,87.61872647,109,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
03-01-2022,38925,33.52942618,1.5,100,100,1,127.85,53.27526443,64.04490704,54.20534031,106,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
04-01-2022,46199,41.22849932,1.5,100,100,2,142.398,57.01904791,84.72512962,67.9081359,86,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
04-01-2022,56242,52.55340842,1.5,100,100,0,162.484,12.01478734,90.20549023,81.01547757,106,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
05-01-2022,49952,50.80134095,1.5,100,100,2,149.904,21.49860586,92.58298881,83.25986103,101,2,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
05-01-2022,33970,20,1.5,100,100,1,117.94,72.97022013,75.35564885,77.17764306,116,2,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
06-01-2022,46556,46.59329803,1.5,100,100,2,143.112,15.98559716,68.31545021,51.32661019,89,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
06-01-2022,22591,30.91538704,1.236117977,70.66460615,100,2,95.182,30.61260317,97.93813228,88.18028971,100,3,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
07-01-2022,24405,29.84255885,1.237175974,82.95172416,100,2,98.81,72.21236559,98.22605993,93.10638086,110,4,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
07-01-2022,25768,25.49316209,1.5,85.81084803,100,2,101.536,69.58448398,79.80586108,74.02932887,103,4,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
08-01-2022,36384,28.18948343,1.5,100,100,2,122.768,15.07128215,75.69974226,73.99694174,103,5,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
08-01-2022,11033,44.52288644,1.096818006,46.50991853,51.58995543,0,72.066,53.2709014,88.09859882,77.98243417,201,5,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
09-01-2022,38748,38.46488476,1.5,100,100,2,127.496,12.09815129,72.31719766,85.23403814,90,6,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
10-01-2022,43024,28.07094802,1.5,100,100,3,136.048,53.67015273,78.07070715,79.33042316,89,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10-01-2022,13224,61.23396562,1.218678965,38.71894192,65.02905996,0,76.448,44.77368012,99.51142081,56.82198763,208,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11-01-2022,11423,20,1.007676911,33.27293084,59.71789823,0,72.846,47.4717092,68.60807488,50.60603873,199,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11-01-2022,10806,44.59911487,1.129870371,40.76714155,53.79018129,0,71.612,37.6133395,78.37787074,89.25082719,213,1,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12-01-2022,37767,38.38720503,1.5,100,100,2,125.534,53.37125362,74.21972042,89.70986656,84,2,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13-01-2022,11371,51.02477209,1.103448334,31.1974604,55.15715065,1,72.742,24.34168919,95.11320313,93.97909275,218,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13-01-2022,11938,37.64141551,1.363688082,40.56736929,59.66812508,0,73.876,55.97460733,92.88412642,69.02100038,187,3,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14-01-2022,24545,51.50381789,1.224176252,74.03645605,100,3,99.09,78.376023,64.42882373,71.12742142,117,4,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15-01-2022,20081,52.32649361,1.291669395,69.98249964,100,1,90.162,57.10766357,71.01524697,65.31567494,109,5,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15-01-2022,40722,28.06813173,1.5,100,100,3,131.444,21.68021412,77.22117354,57.1297072,114,5,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
16-01-2022,37666,35.89580681,1.5,100,100,4,125.332,71.84253341,77.93276221,75.52162445,104,6,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16-01-2022,33681,39.07052287,1.5,100,100,2,117.362,77.02136133,60.3545314,99.89104278,105,6,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
17-01-2022,43778,45.58484544,1.5,100,100,1,137.556,35.20353261,98.27199262,75.02005729,98,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17-01-2022,11546,59.52467534,1.328871955,45.49362669,54.84994055,1,73.092,71.61097165,68.62962717,83.89066002,204,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18-01-2022,22675,39.02191614,1.05632118,78.03160616,100,1,95.35,66.7786639,85.43818829,69.40828531,105,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19-01-2022,37647,61.34222044,1.5,100,100,4,125.294,64.62558521,79.05342933,74.87699261,90,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19-01-2022,24022,52.09641291,1.163764829,86.29090495,100,3,98.044,20.61165524,95.03532334,76.95472764,93,2,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20-01-2022,34920,21.73952314,1.5,100,100,1,119.84,40.24132493,99.21474964,53.37512733,100,3,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20-01-2022,34071,52.0152107,1.5,100,100,1,118.142,43.81277883,70.74135024,64.37308324,103,3,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
21-01-2022,37614,36.84247914,1.5,100,100,1,125.228,11.53393301,72.04184311,75.13156213,79,4,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
21-01-2022,32230,43.13205187,1.5,100,100,0,114.46,22.99526934,86.5687754,94.08453059,110,4,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22-01-2022,38113,42.89056687,1.5,100,100,1,126.226,53.43316495,89.69012749,58.4940503,90,5,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22-01-2022,38352,38.10591259,1.5,100,100,1,126.704,60.14779784,70.83770793,60.11270903,94,5,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23-01-2022,32690,31.87457263,1.5,100,100,3,115.38,13.63925464,61.26975061,71.16675721,83,6,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
23-01-2022,25259,26.9568424,1.5,79.92705765,100,1,100.518,72.81561061,84.90522134,98.66913096,99,6,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24-01-2022,12829,44.72668066,1.016023648,38.5925516,61.22040936,0,75.658,73.59041863,78.72276217,73.31497065,211,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24-01-2022,45895,48.88337778,1.5,100,100,0,141.79,24.31138607,73.61646224,75.52903787,103,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25-01-2022,20961,20,1.336363484,64.29477393,100,2,91.922,42.13868163,72.13143563,96.62774392,105,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25-01-2022,24321,45.53307421,1.224875524,85.36506553,100,1,98.642,52.89570849,97.53928633,83.08888662,82,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26-01-2022,22812,43.93778506,1.015756733,77.51899732,100,0,95.624,50.82766746,60.45210146,89.36859791,94,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27-01-2022,50653,27.75753468,1.5,100,100,0,151.306,18.81686375,99.1660622,83.69194491,112,3,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
27-01-2022,30838,53.27680983,1.5,98.31178722,100,2,111.676,53.7731119,89.88313069,60.93569445,80,3,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
28-01-2022,22144,42.60623148,1.353309441,72.10984644,100,3,94.288,66.96063406,97.62015812,82.43826931,124,4,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28-01-2022,33499,31.38411419,1.5,100,100,2,116.998,48.66562965,83.80918931,93.59565306,102,4,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
29-01-2022,21212,39.33871411,1.038786268,64.28729942,100,1,92.424,43.2562911,96.89737135,53.63674739,93,5,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
29-01-2022,46015,40.95644058,1.5,100,100,3,142.03,61.1609242,76.80044017,78.91798816,111,5,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
30-01-2022,46490,42.17283581,1.5,100,100,1,142.98,58.32259928,97.80096258,84.12702394,95,6,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
30-01-2022,24746,48.1237821,1.054920013,91.53440171,100,4,99.492,70.09545182,65.26747614,85.25204532,107,6,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
31-01-2022,22992,44.05376207,1.10959524,85.75298935,100,1,95.984,22.53664575,75.68871174,97.3889849,88,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31-01-2022,39591,20.23932908,1.5,100,100,5,129.182,33.43523293,72.54812499,81.7822661,96,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
01-02-2022,34763,44.13473732,1.5,100,100,2,119.526,40.12425727,66.61999099,85.33020645,101,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
